trial,"cloud(-1_distratcor,0_none,1_prime)","center_is_prime(0no,1yes)",display_time,stim_id
1,-1,1,1000,0
2,0,1,250,1
3,1,0,100,2
4,1,0,250,3
5,0,1,1000,4
6,1,1,250,5
7,1,1,250,6
8,1,1,250,7
9,1,1,250,8
10,1,1,250,9
11,1,1,100,10
12,1,1,100,11
13,1,1,100,12
14,1,1,100,13
15,1,1,100,14
16,1,1,1000,15
17,1,1,1000,16
18,1,1,1000,17
19,1,1,1000,18
20,1,1,1000,19
21,1,0,250,20
22,1,0,250,21
23,1,0,250,22
24,1,0,250,23
25,1,0,250,24
26,1,0,100,25
27,1,0,100,26
28,1,0,100,27
29,1,0,100,28
30,1,0,100,29
31,1,0,1000,30
32,1,0,1000,31
33,1,0,1000,32
34,1,0,1000,33
35,1,0,1000,34
36,0,1,250,35
37,0,1,250,36
38,0,1,250,37
39,0,1,250,38
40,0,1,250,39
41,0,1,100,40
42,0,1,100,41
43,0,1,100,42
44,0,1,100,43
45,0,1,100,44
46,0,1,1000,45
47,0,1,1000,46
48,0,1,1000,47
49,0,1,1000,48
50,0,1,1000,49
51,0,0,250,50
52,0,0,250,51
53,0,0,250,52
54,0,0,250,53
55,0,0,250,54
56,0,0,100,55
57,0,0,100,56
58,0,0,100,57
59,0,0,100,58
60,0,0,100,59
61,0,0,1000,60
62,0,0,1000,61
63,0,0,1000,62
64,0,0,1000,63
65,0,0,1000,64
66,-1,1,250,65
67,-1,1,250,66
68,-1,1,250,67
69,-1,1,250,68
70,-1,1,250,69
71,-1,1,100,70
72,-1,1,100,71
73,-1,1,100,72
74,-1,1,100,73
75,-1,1,100,74
76,-1,1,1000,75
77,-1,1,1000,76
78,-1,1,1000,77
79,-1,1,1000,78
80,-1,1,1000,79
81,-1,0,250,80
82,-1,0,250,81
83,-1,0,250,82
84,-1,0,250,83
85,-1,0,250,84
86,-1,0,100,85
87,-1,0,100,86
88,-1,0,100,87
89,-1,0,100,88
90,-1,0,100,89
91,-1,0,1000,90
92,-1,0,1000,91
93,-1,0,1000,92
94,-1,0,1000,93
95,-1,0,1000,94
96,-1,1,1000,95
